,3_X_13_11,3_X_15_11,3_X_16_11,3_X_28_11,3_X_45_11,3_X_46_11,3_X_47_11,3_X_49_11,3_X_50_11,5_11_1_-1,5_11_1_1,5_11_1_3,5_11_1_5,5_11_1_8,5_12_2_-1,5_12_2_1,5_12_2_3,5_12_2_5,5_12_2_8,5_13_5_-1,5_13_5_1,5_13_5_3,5_13_5_5,5_13_5_8,5_14_1_-1,5_14_1_1,5_14_1_3,5_14_1_5,5_14_1_8,5_14_5_-1,5_14_5_1,5_14_5_3,5_14_5_5,5_14_5_8,ID
1837_1,2406634.097,1216828.656,6415729.717,5120199.786,0,0,0,0,0,0,1202077.646,10847721.35,1136675.114,1313497.691,0,309826.7826,1016517.369,1408133.105,179586.1645,272192.378,338054.1875,1551718.702,5815173.62,730247.5656,255433.4701,797125.9301,0,4509118.923,2633465.86,0,621655.0175,478478.1024,4017204.338,622802.0696,1837_1
1836_1,449114.1803,104860.0019,328719.3144,356308.3439,0,0,0,0,0,180055.9464,248732.4459,432257.8875,94838.48116,142745.4549,0,228960.6478,57784.76338,107186.7043,96982.86646,0,20818.38146,125096.0058,497592.3027,302068.1169,0,0,145547.6919,181457.4875,202515.0089,0,0,164603.7502,481189.829,69037.20399,1836_1
1834_1,424679.5831,293622.0432,282917.6314,357794.2937,0,0,0,0,0,0,455225.5317,743164.3222,148775.6895,330916.7893,0,279359.7011,528783.0371,258836.9048,193066.0989,0,355613.23,387940.346,1586798.312,691567.0054,0,119789.9784,710343.1981,261654.6593,283252.746,0,280262.02,297535.5512,905542.2789,673869.9548,1834_1
1833_1,102464.098,67123.50434,87132.6986,86326.42355,0,0,0,0,0,0,202669.9511,268959.2282,15455.08892,130267.8465,0,0,0,66230.49275,139745.4301,229457.7897,0,225943.9704,361213.4943,104535.4525,0,0,0,0,219746.9843,0,0,152997.2413,288410.5077,315012.7582,1833_1
1832_1,80833.39335,41379.93303,98197.90315,124314.0253,0,0,0,0,0,0,334997.7067,303115.0494,92894.77463,207982.0998,155392.8556,0,247627.0546,398086.7875,201239.8547,0,35685.4934,312712.3188,484624.906,293799.467,0,0,124744.1164,424148.7692,198969.2509,0,0,172426.7529,419401.9313,157785.349,1832_1
1831_1,0,0,0,0,0,0,0,0,0,0,0,288112.3853,0,0,0,0,3389339.031,196468.3568,149696.9987,0,0,305727.0566,663319.3259,24884.3653,0,0,2134258.427,0,36214.71279,0,0,491677.4983,717558.577,674890.9699,1831_1
1830_1,209040.7372,42135.72469,110813.0438,37358.29575,0,0,0,0,0,304753.6638,240566.8927,332553.6452,194915.7542,410726.4552,0,193763.6542,146705.3883,170080.162,198705.8796,0,0,158798.4187,823058.8697,143613.8606,319492.8608,332344.9139,492693.4459,223364.2486,108682.1391,0,388779.0036,263122.2709,365806.7947,116848.9087,1830_1
183_1,64989.93775,16010.90336,55265.68592,60838.09953,0,0,0,0,0,0,205676.0604,75819.04877,26140.54513,13770.83844,0,220881.2948,55745.70774,43085.16597,29545.46026,0,0,0,174557.7173,121147.5679,0,0,140411.7386,0,42885.84409,0,0,35287.85873,86547.63539,133202.1651,183_1
1829_1,103120.4516,38973.15979,78295.39643,18099.87588,0,0,0,0,0,0,203968.1928,225568.4156,388852.2372,40969.46952,0,0,165848.4401,141000.4222,0,0,0,0,129831.1848,194824.2123,0,563567.087,417737.4146,0,170118.9355,0,0,174974.1987,163855.3097,132096.0973,1829_1
1828_1,12743555.18,8022579.624,9732338.876,9555381.481,4615574.631,0,0,1690099.524,5262689.386,0,714058.0836,9739347.245,1070893.894,2581689.08,0,0,2322429.153,3452338.485,1299280.429,0,1729205.196,2737323.646,10120578.09,2641793.665,0,263060.3845,194990.3879,4729376.204,2236649.537,0,1538647.801,1445629.854,9134369.704,2589697.908,1828_1
1827_1,97894.75307,34152.15561,75471.22776,58156.66978,0,0,0,0,0,0,178737.2001,296498.1928,0,155573.2559,304001.4078,191950.8965,290665.7693,48674.59291,308108.1677,0,69812.99228,131093.9822,474045.776,51217.30072,158251.9212,0,122021.0119,82977.96087,153216.0926,0,385141.778,163551.7666,218798.1801,231511.4554,1827_1
1826_1,10953.94918,2453.28358,8871.373547,5127.081775,0,0,0,0,0,146386.2105,28888.64021,31947.94595,11014.8668,58026.31519,147403.9084,186145.9299,0,36309.67616,24899.19837,0,33850.85614,33901.18571,73553.55428,24834.19521,153466.0768,0,236661.7207,26822.84891,4015.744362,0,0,39651.41115,39783.99369,0,1826_1
1825_1,23087.07704,9479.54335,34279.18844,39622.32035,0,0,0,0,0,308530.7099,223252.7209,89780.06342,54169.42993,146758.9071,932026.9789,523106.9758,231036.7434,48467.76036,559773.4794,574457.0018,166473.3322,273898.5316,1188525.421,127946.5241,215635.0541,672927.839,748199.6611,37688.76221,53603.9304,128809.6965,0,414374.0956,293477.3925,525764.9199,1825_1
1824_1,1459179.859,474175.8208,422631.8462,362891.5838,0,0,0,0,0,159401.8889,597687.2565,452251.0549,455780.9208,1642826.259,321020.1474,0,204625.2982,1514308.795,1192974.984,356150.7295,73721.29372,950572.8735,2482896.708,3377280.928,167111.2494,173833.5362,1030816.364,467324.1031,581582.0506,0,0,912113.0319,909747.7019,774161.4309,1824_1
1823_1,1149394.763,264196.6183,790015.261,722030.1216,0,0,0,0,0,0,299139.1554,1654089.895,387796.8971,1009439.831,0,0,389172.54,714368.2424,292206.0412,0,140208.9741,860056.8032,4493676.853,2137250.08,0,0,0,1277641.171,1372227.635,0,773499.7713,800643.9429,2334437.263,2557259.103,1823_1
1822_1,19114.01511,4815.944547,29025.0744,40259.09067,0,0,0,0,0,0,264647.3847,167242.0179,389211.3356,303757.8083,0,730831.5137,0,85533.71735,152066.872,0,44300.85658,122008.4889,553495.3478,104724.4397,200842.148,0,0,70206.50691,120874.9649,239946.2948,244397.3552,252973.9107,329748.7744,391757.2912,1822_1
1821_1,286669.3411,46851.15679,190596.9538,331818.1523,0,0,0,0,0,0,582345.5515,406746.8969,607690.7904,258567.7429,156390.029,0,99686.44207,339004.2235,140891.2929,0,35914.49122,215807.3341,1209582.3,439135.8582,162821.7628,338742.9978,125544.6134,170748.2318,336583.8012,194523.3064,198131.7596,236636.2291,569825.9288,277896.2817,1821_1
1820_1,309071.9075,96544.78854,220668.7767,342624.1474,0,0,0,0,0,0,214502.4782,284661.9376,245361.1048,120639.1415,0,0,209296.759,140194.4862,135578.8685,0,100539.0697,50344.27579,491531.5364,360599.7846,227901.7188,0,351449.741,398327.3371,101379.5104,0,0,235534.1309,580957.4806,444538.9622,1820_1
182_1,153768.6452,64777.2667,118603.8081,82254.42244,0,0,0,0,0,97853.85499,154488.0382,256272.4721,0,85334.65652,0,124431.7806,0,58252.07345,55480.69357,218634.309,0,56654.27262,295007.2474,392884.5546,102586.488,0,158199.7486,161370.8862,69793.85349,0,124833.6895,135840.8183,367885.7709,25012.80549,182_1
1819_1,120387.9117,22859.49786,41331.3704,73498.05088,0,0,0,0,0,0,207063.0859,228991.0577,0,49909.33931,422614.6738,266845.0324,67345.97062,202998.3745,71387.29705,0,0,72897.34731,474484.1999,87023.35842,219997.613,228847.3287,0,230707.5097,40296.71799,262831.346,0,56841.32928,218620.3275,53640.17824,1819_1
1818_1,0,0,8494.597064,0,0,0,0,0,0,280338.071,221293.6764,0,0,0,282287.0215,0,89967.9762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28475.53079,0,0,1818_1
1817_1,54604.61101,3668.830117,61912.37981,56227.85561,0,0,0,0,0,0,172809.2327,63703.24098,54908.28073,0,0,0,140512.799,47060.25967,41373.54234,0,0,33798.97108,146663.5695,110041.4144,153003.365,477474.4265,0,53483.952,16014.54636,0,0,148244.4718,92549.43121,111916.593,1817_1
1816_1,1811052.932,1780461.218,940905.9842,1419967.42,1175370.528,0,0,0,0,0,363674.2524,3137061.251,1996766.107,1928476.603,0,468671.9859,413989.6976,2637446.406,835871.5661,205871.3925,1022742.618,2112542.923,6250185.273,5109821.255,0,200967.4511,297929.4759,1587041.253,1658155.885,0,1175464.437,1697160.908,4323867.145,2920530.72,1816_1
1815_1,7845.716672,2635.72994,0,0,0,0,0,0,0,0,434518.5219,45765.14424,0,8312.217281,316732.1526,266652.3645,67297.34537,5201.328339,17833.93847,117131.1605,121227.6148,6070.39282,65853.00167,5929.12675,0,228682.096,84753.94476,0,0,0,0,95850.48703,18996.7373,26800.72444,1815_1
1814_1,1779055.53,337530.2101,991211.4189,1087303.674,0,0,0,0,0,256563.8177,50631.68037,391955.0118,96526.04121,671218.8884,0,326248.6969,0,152731.5848,87279.16883,0,0,118833.8383,547883.0121,1504053.245,0,279792.1404,207392.6033,94022.14177,161878.4865,0,0,217172.0399,406743.3041,196743.834,1814_1
1813_1,9032.682952,12137.9417,5486.535261,12683.45417,0,0,0,0,0,0,71465.16481,0,27248.74779,0,0,0,116217.9842,0,41064.01459,0,0,20966.31934,90978.95991,6826.13512,0,0,0,0,0,0,0,49045.13699,16403.04312,0,1813_1
